Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Refugee population by country or territory of asylum,SM.POP.REFG,Guinea,GIN,325000,427206,25226,21488,15325,14113,16609,10371,8560,8766,8839,..
Refugee population by country or territory of asylum,SM.POP.REFG,Guinea-Bissau,GNB,3004,7587,7860,7884,7898,7679,7800,7784,8535,8684,8684,..
Refugee population by country or territory of asylum,SM.POP.REFG,Guyana,GUY,..,..,..,..,..,7,7,7,11,11,11,..
Refugee population by country or territory of asylum,SM.POP.REFG,Haiti,HTI,..,..,1,3,3,..,..,..,..,3,3,..
Refugee population by country or territory of asylum,SM.POP.REFG,Honduras,HND,237100,12,22,24,19,14,17,16,16,26,30,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Hong Kong SAR, China",HKG,8161,983,97,103,86,154,152,117,126,170,133,..
Refugee population by country or territory of asylum,SM.POP.REFG,Hungary,HUN,45123,5064,8131,7750,6044,5414,5106,4054,2440,2867,4393,..
Refugee population by country or territory of asylum,SM.POP.REFG,Iceland,ISL,85,244,49,49,62,83,58,60,79,99,179,..
Refugee population by country or territory of asylum,SM.POP.REFG,India,IND,212743,170941,161537,184543,185323,184821,185118,185656,188395,199937,201381,..
Refugee population by country or territory of asylum,SM.POP.REFG,Indonesia,IDN,3278,122618,315,369,798,811,1006,1819,3206,4270,5957,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Iran, Islamic Rep.",IRN,4174401,1868000,963546,980109,1070488,1073366,886468,868242,857354,982027,979437,..
Refugee population by country or territory of asylum,SM.POP.REFG,Iraq,IRQ,900,127787,42354,39503,35218,34655,35189,98822,246298,271143,277701,..
Refugee population by country or territory of asylum,SM.POP.REFG,Ireland,IRL,360,2543,9333,9730,9571,9107,8248,6327,6001,5853,6125,..
Refugee population by country or territory of asylum,SM.POP.REFG,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Israel,ISR,..,4075,1156,9137,17736,25471,41235,48505,48325,39716,38500,..
Refugee population by country or territory of asylum,SM.POP.REFG,Italy,ITA,10840,6849,38068,47061,54965,56397,58060,64779,78061,93715,118047,..
Refugee population by country or territory of asylum,SM.POP.REFG,Jamaica,JAM,..,38,..,..,26,21,20,20,21,22,12,..
Refugee population by country or territory of asylum,SM.POP.REFG,Japan,JPN,6819,3752,1794,2019,2332,2586,2649,2581,2584,2560,2474,..
